Kanji	Codepoint	Old	Old codepoint	Popular	Popular codepoint	Standard variation sequence	Standard variation sequence codepoint	Acceptable variation sequence	Acceptable variation sequence codepoint	Documentation
暦	66a6	曆	66c6							
歴	6b74	歷	6b77							
恋	604b	戀	6200							
練	7df4	練	fa57							
錬	932c	鍊	934a							
炉	7089	爐	7210							
労	52b4	勞	52de							
郎	90ce	郞	90de							
朗	6717	朗	f929							
廊	5eca	廊	f928							
楼	697c	樓	6a13							
録	9332	錄	9304							
湾	6e7e	灣	7063							
