Kanji	Reading	Romaji	Type	Uncommon?	Variation of
疎	うと.む	uto.mu	Kun		
訴	ソ	SO	On		
訴	うった.える	utta.eru	Kun		
塑	ソ	SO	On		
遡	ソ	SO	On		
遡	さかのぼ.る	sakanobo.ru	Kun		
礎	ソ	SO	On		
礎	いしずえ	ishizue	Kun		
双	ソウ	SOU	On		
双	ふた	futa	Kun		
壮	ソウ	SOU	On		
早	ソウ	SOU	On		
早	サッ	SAXTSU	On	Y	
早	はや.い	haya.i	Kun		
早	はや.まる	haya.maru	Kun		
早	はや.める	haya.meru	Kun		
争	ソウ	SOU	On		
争	あらそ.う	araso.u	Kun		
走	ソウ	SOU	On		
走	はし.る	hashi.ru	Kun		
奏	ソウ	SOU	On		
奏	かな.でる	kana.deru	Kun		
相	ソウ	SOU	On		
相	ショウ	SHOU	On		
相	あい	ai	Kun		
荘	ソウ	SOU	On		
草	ソウ	SOU	On		
草	くさ	kusa	Kun		
送	ソウ	SOU	On		
送	おく.る	oku.ru	Kun		
倉	ソウ	SOU	On		
倉	くら	kura	Kun		
捜	ソウ	SOU	On		
捜	さが.す	saga.su	Kun		
挿	ソウ	SOU	On		
挿	さ.す	sa.su	Kun		
桑	ソウ	SOU	On		
桑	くわ	kuwa	Kun		
巣	ソウ	SOU	On		
巣	す	su	Kun		
掃	ソウ	SOU	On		
掃	は.く	ha.ku	Kun		
曹	ソウ	SOU	On		
曽	ソウ	SOU	On		
曽	ゾ	ZO	On	Y	
爽	ソウ	SOU	On		
爽	さわ.やか	sawa.yaka	Kun		
窓	ソウ	SOU	On		
窓	まど	mado	Kun		
創	ソウ	SOU	On		
創	つく.る	tsuku.ru	Kun		
喪	ソウ	SOU	On		
喪	も	mo	Kun		
痩	ソウ	SOU	On		
痩	や.せる	ya.seru	Kun		
葬	ソウ	SOU	On		
葬	ほうむ.る	houmu.ru	Kun		
装	ソウ	SOU	On		
装	ショウ	SHOU	On		
装	よそお.う	yosoo.u	Kun		
僧	ソウ	SOU	On		
想	ソウ	SOU	On		
想	ソ	SO	On	Y	
層	ソウ	SOU	On		
総	ソウ	SOU	On		
遭	ソウ	SOU	On		
遭	あ.う	a.u	Kun		
槽	ソウ	SOU	On		
踪	ソウ	SOU	On		
操	ソウ	SOU	On		
操	みさお	misao	Kun		
操	あやつ.る	ayatsu.ru	Kun		
燥	ソウ	SOU	On		
霜	ソウ	SOU	On		
霜	しも	shimo	Kun		
騒	ソウ	SOU	On		
騒	さわ.ぐ	sawa.gu	Kun		
藻	ソウ	SOU	On		
藻	も	mo	Kun		
造	ゾウ	ZOU	On		
造	つく.る	tsuku.ru	Kun		
像	ゾウ	ZOU	On		
増	ゾウ	ZOU	On		
増	ま.す	ma.su	Kun		
増	ふ.える	fu.eru	Kun		
増	ふ.やす	fu.yasu	Kun		
憎	ゾウ	ZOU	On		
憎	にく.む	niku.mu	Kun		
憎	にく.い	niku.i	Kun		
