Kanji	Reading	Uncommon?	Note
進	すす.める		⇔ 勧める，薦める
診	み.る		⇔ 見る
慎	つつし.む		⇔ 謹む
震	ふる.う		⇔ 奮う，振るう
尋	たず.ねる		⇔ 訪ねる
腎	ジン		「肝腎」は，「肝心」とも書く。
図	はか.る		⇔ 計る，測る，量る，謀る
吹	ふ.く		⇔ 噴く
推	お.す		⇔ 押す
数	かず		「人数」は，「ニンズウ」とも。
据	す.わる		⇔ 座る
生	う.まれる		⇔ 産まれる
生	う.む		⇔ 産む
省	かえり.みる		⇔ 顧みる
逝	ゆ.く		⇔ 行く
逝	い.く		⇔ 行く
静	しず.まる		⇔ 鎮まる
静	しず.める		⇔ 鎮める，沈める
請	こ.う		⇔ 乞う
請	う.ける		⇔ 受ける
整	ととの.える		⇔ 調える
整	ととの.う		⇔ 調う
跡	あと		⇔後，痕
切	き.る		⇔ 斬る
接	つ.ぐ		⇔ 継ぐ
絶	た.つ		⇔ 裁つ，断つ
川	かわ		⇔ 河
船	ふね		⇔ 舟
戦	たたか.う		⇔ 闘う
薦	すす.める		⇔ 進める，勧める
善	よ.い		⇔ 良い
粗	あら.い		⇔ 荒い
双	ふた		⇔ 二
早	はや.い		⇔ 速い
早	はや.まる		⇔ 速まる
早	はや.める		⇔ 速める
送	おく.る		⇔ 贈る
倉	くら		⇔ 蔵
捜	さが.す		⇔ 探す
挿	さ.す		⇔ 差す，刺す，指す
創	つく.る		⇔ 作る，造る
遭	あ.う		⇔ 合う，会う
造	つく.る		⇔ 作る，創る
増	ふ.える		⇔ 殖える
増	ふ.やす		⇔ 殖やす
蔵	くら		⇔ 倉
贈	ソウ	Y	「寄贈」は，「キゾウ」とも。
贈	おく.る		⇔ 送る
足	あし		⇔ 脚
捉	とら.える		⇔ 捕らえる
速	はや.い		⇔ 早い
速	はや.める		⇔ 早める
速	はや.まる		⇔ 早まる
側	がわ		「かわ」とも。
測	はか.る		⇔ 計る，量る，図る
尊	たっと.い		⇔ 貴い
尊	とうと.い		⇔ 貴い
尊	たっと.ぶ		⇔ 貴ぶ
尊	とうと.ぶ		⇔ 貴ぶ
他	ほか		⇔ 外
打	う.つ		⇔ 撃つ，討つ
唾	つば		「唾」は，「つばき」とも。
耐	た.える		⇔ 堪える
替	か.える		⇔ 換える，代える，変える
替	か.わる		⇔ 換わる，代わる，変わる
代	か.わる		⇔ 換わる，替わる，変わる
代	か.える		⇔ 換える，替える，変える
探	さが.す		⇔ 捜す
断	た.つ		⇔ 裁つ，絶つ
弾	ひ.く		⇔ 引く
弾	たま		⇔ 玉，球
暖	あたた.か		⇔ 温か
暖	あたた.かい		⇔ 温かい
暖	あたた.まる		⇔ 温まる
暖	あたた.める		⇔ 温める
値	あたい		⇔ 価
遅	おく.れる		⇔ 後れる
着	ジャク	Y	「愛着」，「執着」は，「アイチャク」，「シュウチャク」とも。
着	つ.く		⇔ 付く，就く
着	つ.ける		⇔ 付ける，就ける
中	なか		⇔ 仲
仲	なか		⇔ 中
著	あらわ.す		⇔ 表す，現す
町	まち		⇔ 街
長	なが.い		⇔ 永い
張	は.る		⇔ 貼る
頂	いただき		「山頂」の意。
貼	チョウ		「貼付」は，「テンプ」とも。
貼	は.る		⇔ 張る
超	こ.える		⇔ 越える
超	こ.す		⇔ 越す
跳	と.ぶ		⇔ 飛ぶ
調	ととの.う		⇔ 整う
調	ととの.える		⇔ 整える
聴	き.く		⇔ 聞く
直	なお.す		⇔ 治す
直	なお.る		⇔ 治る
沈	しず.める		⇔ 静める，鎮める
鎮	しず.める		⇔ 静める，沈める
鎮	しず.まる		⇔ 静まる
痛	いた.む		⇔ 傷む，悼む
痛	いた.める		⇔ 傷める
提	さ.げる		⇔ 下げる
締	し.まる		⇔ 閉まる，絞まる
締	し.める		⇔ 閉める，絞める
添	そ.う		⇔ 沿う
賭	か.ける		⇔ 掛ける，懸ける，架ける
努	つと.める		⇔ 勤める，務める
灯	ひ		⇔ 火
当	あ.てる		⇔ 宛てる，充てる
討	う.つ		⇔ 打つ，撃つ
悼	いた.む		⇔ 痛む，傷む
登	のぼ.る		⇔ 上る，昇る
答	こた.える		⇔ 応える
闘	たたか.う		⇔ 戦う
得	え.る		⇔ 獲る
読	よ.む		⇔ 詠む
軟	やわ.らか		⇔ 柔らか
軟	やわ.らかい		⇔ 柔らかい
難	むずか.しい		「むつかしい」とも。
二	ふた.つ		⇔ 双
匂	にお.う		⇔ 臭う
入	い.る		⇔ 要る
熱	あつ.い		⇔ 暑い
納	おさ.める		⇔ 収める
納	おさ.まる		⇔ 収まる
把	ハ		「把（ハ）」は，前に来る音によって「ワ」，「バ」，「パ」になる。
破	やぶ.れる		⇔ 敗れる
敗	やぶ.れる		⇔ 破れる
泊	と.まる		⇔ 止まる，留まる
泊	と.める		⇔ 止める，留める
犯	おか.す		⇔ 侵す，冒す
煩	わずら.う		⇔ 患う
皮	かわ		⇔ 革
飛	と.ぶ		⇔ 跳ぶ
備	そな.える		⇔ 供える
泌	ヒツ		「分泌」は，「ブンピ」とも。
表	おもて		⇔ 面
表	あらわ.す		⇔ 現す，著す
表	あらわ.れる		⇔ 現れる
描	か.く		⇔ 書く
付	つ.ける		⇔ 着ける，就ける
付	つ.く		⇔ 着く，就く
富	フウ	Y	「富貴」は，「フッキ」とも。
沸	わ.く		⇔ 湧く
噴	ふ.く		⇔ 吹く
奮	ふる.う		⇔ 震う，振るう
分	わ.かれる		⇔ 別れる
文	モン		「文字」は，「モジ」とも。
